arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
contest,142,48,21,16,165,0.52559,0.47925,0.54052,0.58808,0.50644,0.66321,0.60446,0.74907,0.30190,0.33291,0.42273,0.54683,0.54426,0.63430,0.48285,0.49784,0.47142,0.55450,0.53317,0.41397
contest,143,48,21,15,185,0.50247,0.45471,0.51484,0.50558,0.54286,0.46959,0.68499,0.62698,0.26759,0.28051,0.46401,0.55866,0.55311,0.61876,0.53952,0.51534,0.49173,0.51482,0.43319,0.42999
contest,144,48,24,14,183,0.52887,0.53337,0.52234,0.46309,0.52360,0.43542,0.68732,0.81514,0.32149,0.28324,0.48605,0.57899,0.59881,0.52427,0.51726,0.54355,0.56579,0.62747,0.46315,0.46138
contest,145,48,24,14,187,0.51956,0.55564,0.57851,0.48965,0.48170,0.42859,0.60704,0.62256,0.29460,0.29495,0.43896,0.52452,0.51200,0.44284,0.58288,0.63800,0.58237,0.54314,0.43958,0.49413
contest,146,48,24,13,172,0.50618,0.48384,0.54364,0.57848,0.50142,0.46445,0.58514,0.43975,0.29281,0.16981,0.50256,0.59404,0.55628,0.58177,0.53599,0.45477,0.50479,0.42591,0.47263,0.51292
contest,147,48,24,17,193,0.54234,0.57811,0.49525,0.56559,0.41304,0.48648,0.69674,0.62708,0.27672,0.23094,0.54669,0.70084,0.43982,0.42024,0.47929,0.46055,0.55968,0.65743,0.54838,0.65581
contest,148,48,23,18,183,0.58405,0.65926,0.53347,0.57770,0.49027,0.50205,0.62322,0.58801,0.25501,0.30320,0.45036,0.57053,0.51297,0.49900,0.52489,0.50502,0.60826,0.54369,0.54850,0.57338
contest,149,48,23,18,191,0.50853,0.53947,0.45885,0.41174,0.54248,0.53736,0.71730,0.73141,0.36550,0.46319,0.50434,0.68751,0.48562,0.47693,0.48218,0.51278,0.59011,0.65285,0.54809,0.54697
contest,150,48,22,15,179,0.58161,0.44353,0.48844,0.54536,0.46828,0.47758,0.56259,0.53538,0.35221,0.22305,0.47958,0.59087,0.52155,0.39748,0.46766,0.45483,0.49053,0.52442,0.47200,0.65528
contest,151,48,19,14,156,0.47126,0.35546,0.57459,0.62356,0.42904,0.38682,0.67638,0.68447,0.30512,0.23221,0.42752,0.53375,0.52022,0.49876,0.51826,0.51031,0.53705,0.56268,0.56921,0.56167
contest,152,48,20,15,202,0.50558,0.45953,0.43899,0.37633,0.51346,0.43458,0.75182,0.58332,0.32801,0.26370,0.53568,0.61918,0.48898,0.34074,0.41507,0.36240,0.52302,0.52096,0.47672,0.52683
contest,153,48,23,16,203,0.59295,0.59409,0.49684,0.44046,0.45441,0.43145,0.67005,0.80561,0.33131,0.25675,0.50604,0.69822,0.56672,0.58533,0.44857,0.45463,0.48445,0.38770,0.43704,0.51696
contest,154,48,24,16,171,0.54981,0.49158,0.49253,0.54333,0.47300,0.47677,0.66233,0.57927,0.19330,0.14866,0.45842,0.59204,0.53166,0.48682,0.50671,0.59134,0.45195,0.51594,0.52004,0.69652
contest,155,48,23,15,155,0.57104,0.66807,0.47544,0.49056,0.58928,0.59459,0.71765,0.74009,0.25441,0.32299,0.39782,0.46084,0.52956,0.62211,0.55207,0.54351,0.47867,0.38702,0.49007,0.48771
contest,156,48,22,13,202,0.61779,0.53284,0.46606,0.45054,0.57293,0.56219,0.63616,0.76186,0.26918,0.32608,0.47986,0.62698,0.55529,0.47880,0.57946,0.47311,0.46625,0.39610,0.42868,0.49026
contest,157,48,24,17,189,0.61984,0.66709,0.56563,0.68242,0.49537,0.37322,0.69306,0.57945,0.34456,0.25172,0.49268,0.63074,0.58822,0.58524,0.57791,0.64829,0.59474,0.57631,0.49734,0.67243
