scenario,seed,home_range,hash,final_population,births,deaths,food_consumed,water_consumed,site_transitions,same_site_repeats,same_site_fraction,mean_distinct_sites,mean_distance_from_centre,multi_food_candidate_fraction,mean_speed,mean_familiarity,familiar_multi_candidate_fraction
scarcity,62,on,10434651304544963371,0,11,15,76.9184,61.3750,246,246,1.000000,1.000000,2.276787,0.000000,1.427187,0.809968,0.000000
scarcity,63,off,15341359998722448918,0,11,15,76.6032,61.0625,273,273,1.000000,1.000000,2.142726,0.000000,1.717543,0.000000,0.000000
scarcity,63,on,15341359998722448918,0,11,15,76.5632,63.6250,273,273,1.000000,1.000000,2.164575,0.000000,1.659557,0.820944,0.000000
scarcity,64,off,15571758720661031941,0,15,19,91.6132,74.6250,305,305,1.000000,1.000000,2.245896,0.000000,1.479738,0.000000,0.000000
scarcity,64,on,15571758720661031941,0,15,19,91.6082,77.2500,308,308,1.000000,1.000000,2.236455,0.000000,1.470620,0.823898,0.000000
scarcity,65,off,3914496188643729948,0,14,18,84.6037,60.2500,304,304,1.000000,1.000000,2.156636,0.000000,1.484387,0.000000,0.000000
scarcity,65,on,307026307363842076,0,14,18,83.3759,60.3750,301,301,1.000000,1.000000,2.173098,0.000000,1.482012,0.786615,0.000000
scarcity,66,off,3522143373875086447,0,13,17,84.4590,60.6250,291,291,1.000000,1.000000,2.287324,0.000000,1.600721,0.000000,0.000000
scarcity,66,on,381104111134478783,0,13,17,84.4303,60.6250,291,291,1.000000,1.000000,2.288992,0.000000,1.591097,0.812725,0.000000
scarcity,67,off,14372728344274027446,0,14,18,80.7288,58.2500,235,235,1.000000,1.000000,2.198278,0.000000,1.262672,0.000000,0.000000
scarcity,67,on,14372728344274027446,0,14,18,80.7375,59.6875,246,246,1.000000,1.000000,2.189557,0.000000,1.260009,0.792633,0.000000
scarcity,68,off,8306475234076259081,0,12,16,83.8320,57.5000,227,227,1.000000,1.000000,2.273972,0.000000,1.545358,0.000000,0.000000
scarcity,68,on,8306475234076259081,0,12,16,83.8904,59.6250,224,224,1.000000,1.000000,2.273011,0.000000,1.537920,0.795104,0.000000
scarcity,69,off,15707272418855174336,0,10,14,72.0508,54.4375,212,212,1.000000,1.000000,2.215774,0.000000,1.499416,0.000000,0.000000
scarcity,69,on,15707272418855174336,0,10,14,71.8324,54.6250,246,246,1.000000,1.000000,2.206161,0.000000,1.480165,0.812758,0.000000
scarcity,70,off,7463993492802362595,0,11,15,81.1218,68.0000,220,220,1.000000,1.000000,2.225618,0.000000,1.559184,0.000000,0.000000
scarcity,70,on,3325009219762232403,0,11,15,81.2301,68.2500,222,222,1.000000,1.000000,2.218551,0.000000,1.544565,0.820093,0.000000
scarcity,71,off,2382988086984769114,0,14,18,83.2275,62.1875,301,301,1.000000,1.000000,2.350210,0.000000,1.601245,0.000000,0.000000
scarcity,71,on,2599310396399873626,0,15,19,83.6539,65.0625,325,325,1.000000,1.000000,2.250185,0.000000,1.585403,0.798714,0.000000
migration,42,off,14624446755318265771,0,2,6,99.6190,25.5625,334,330,0.988024,1.666667,1.404988,0.270316,2.498891,0.000000,0.000000
migration,42,on,9296991577354417931,0,7,11,155.2103,52.1875,346,342,0.988439,1.363636,1.914082,0.399412,2.252840,0.850680,0.362763
migration,43,off,6538256944089391986,40,64,28,870.9097,291.8750,1406,1367,0.972262,1.529412,2.717068,0.160847,1.395092,0.000000,0.000000
migration,43,on,3007066071617026305,40,77,41,846.5351,307.0000,1779,1755,0.986509,1.259259,2.143402,0.230700,1.633704,0.827399,0.176130
migration,44,off,5339613164792049349,0,3,7,79.0530,29.4375,282,280,0.992908,1.285714,1.915335,0.222202,1.756061,0.000000,0.000000
migration,44,on,838726665060116165,0,5,9,106.0431,35.1875,203,199,0.980296,1.444444,2.346324,0.199311,1.778307,0.772286,0.156743
migration,45,off,5618467808012761411,39,84,48,1041.3103,361.7500,1480,1445,0.976351,1.375000,2.590211,0.268885,1.396982,0.000000,0.000000
migration,45,on,14312271050341528172,40,83,47,993.8249,335.1250,1451,1414,0.974500,1.402299,2.517988,0.188941,1.381339,0.841131,0.152558
migration,46,off,2142600241662913679,0,4,8,45.8076,23.6875,156,155,0.993590,1.125000,2.106859,0.024505,1.610672,0.000000,0.000000
migration,46,on,14635238136264168711,0,5,9,56.8736,29.8125,161,160,0.993789,1.111111,2.135661,0.024692,1.701859,0.750000,0.023317
migration,47,off,13580448653743134204,39,65,29,703.4977,239.6875,1216,1182,0.972039,1.463768,2.855355,0.346805,1.692082,0.000000,0.000000
migration,47,on,14243218029258269816,40,72,36,952.4785,318.8125,1548,1514,0.978036,1.447368,2.514237,0.229018,1.698532,0.845426,0.194014
migration,48,off,11281963276341998035,40,67,31,861.8771,294.3750,1379,1336,0.968818,1.507042,2.331389,0.224793,1.426673,0.000000,0.000000
migration,48,on,11113660839534569380,40,72,36,835.9389,321.0625,1519,1488,0.979592,1.394737,2.108279,0.264884,1.450263,0.860622,0.212653
migration,49,off,2153660958634229857,40,78,42,1144.0990,373.4375,1434,1393,0.971409,1.463415,2.650754,0.200317,1.349532,0.000000,0.000000
migration,49,on,16578704946350749551,40,73,37,1172.1649,389.0625,1661,1622,0.976520,1.454545,2.797654,0.293547,1.417507,0.854162,0.245354
migration,50,off,10404350330204613059,0,2,6,80.4434,22.0625,183,180,0.983607,1.500000,1.817029,0.200058,1.969461,0.000000,0.000000
migration,50,on,7131050147610670632,40,46,10,539.5440,176.9375,777,737,0.948520,1.780000,3.859168,0.112369,1.257411,0.806959,0.081503
migration,51,off,9430556763709323952,40,76,40,917.6808,292.9375,1299,1269,0.976905,1.325000,2.304877,0.348440,1.525761,0.000000,0.000000
migration,51,on,16339411625471596543,40,72,36,777.7392,263.6875,1340,1307,0.975373,1.421053,2.598806,0.340780,1.643813,0.807368,0.268810
migration,52,off,8153730693660650173,40,44,8,678.1579,240.4375,1321,1276,0.965935,1.895833,2.581633,0.383069,1.435029,0.000000,0.000000
migration,52,on,17702025627779238192,40,76,40,777.5063,331.5000,1527,1489,0.975115,1.362500,2.238459,0.227622,1.429792,0.829537,0.177791
migration,53,off,10635510679263803689,40,57,21,997.0118,331.0625,1497,1449,0.967936,1.704918,2.765851,0.304496,1.429763,0.000000,0.000000
migration,53,on,13576336931047996131,40,59,23,897.2043,284.5625,1423,1365,0.959241,1.746032,2.839712,0.518831,1.474630,0.855862,0.443119
migration,54,off,17294502321262477838,40,86,50,929.6113,302.7500,1189,1151,0.968040,1.422222,2.832652,0.211584,1.268648,0.000000,0.000000
migration,54,on,2367849020132274873,39,85,49,898.2986,303.5000,1221,1184,0.969697,1.415730,2.748933,0.195101,1.278389,0.810313,0.146052
migration,55,off,13558530433666893726,40,66,30,756.9304,262.0000,1357,1296,0.955048,1.671429,2.862710,0.387701,1.639515,0.000000,0.000000
migration,55,on,12451669152048359396,40,76,40,693.8891,273.2500,1297,1256,0.968389,1.475000,2.705298,0.263492,1.634165,0.817733,0.197012
migration,56,off,1962512037300317879,40,69,33,821.6965,283.8750,1185,1157,0.976371,1.383562,2.523860,0.153850,1.549659,0.000000,0.000000
migration,56,on,6365709583260350681,40,76,40,1016.2413,351.8750,1464,1444,0.986339,1.225000,2.215923,0.174560,1.311843,0.845560,0.136884
migration,57,off,11322351975552159269,40,76,40,1224.2509,346.9375,1683,1644,0.976827,1.450000,2.512086,0.374008,1.486214,0.000000,0.000000
migration,57,on,4910442851374829106,40,72,36,1062.3280,315.4375,1619,1579,0.975293,1.460526,2.464468,0.337237,1.447029,0.856489,0.290398
migration,58,off,2471293113560299275,0,6,10,32.0554,21.2500,132,132,1.000000,1.000000,1.719705,0.000617,1.649515,0.000000,0.000000
migration,58,on,11174848894912244891,0,6,10,53.3105,27.7500,172,171,0.994186,1.100000,1.681311,0.001531,1.650906,0.767517,0.000317
migration,59,off,9188421961682776866,40,64,28,1019.3936,329.4375,1381,1342,0.971760,1.529412,2.862073,0.192178,1.397543,0.000000,0.000000
migration,59,on,12763159763904610315,39,73,37,1001.9114,362.2500,1447,1410,0.974430,1.454545,2.752146,0.191934,1.415822,0.833921,0.155649
migration,60,off,1743138608450445799,40,73,37,859.9556,349.5000,1282,1247,0.972699,1.441558,2.642334,0.124969,1.417021,0.000000,0.000000
migration,60,on,1070217656152866592,40,76,40,981.8069,367.9375,1431,1395,0.974843,1.437500,2.617092,0.106855,1.502137,0.847224,0.087010
migration,61,off,3881418489219696248,40,54,18,964.0499,302.5625,1354,1294,0.955687,1.879310,3.235713,0.224093,1.317595,0.000000,0.000000
migration,61,on,9645367127388599174,40,70,34,921.2886,318.0000,1232,1180,0.957792,1.621622,3.256757,0.294512,1.312757,0.861027,0.241328
migration,62,off,16771744157347188774,40,67,31,1047.7316,366.6875,1263,1228,0.972288,1.422535,2.596969,0.137140,1.377496,0.000000,0.000000
migration,62,on,10742738078992769644,40,69,33,1063.7427,386.6250,1295,1258,0.971429,1.479452,2.741959,0.146168,1.242472,0.869127,0.121932
migration,63,off,11716912427736284360,0,3,7,67.5041,31.0625,181,179,0.988950,1.285714,2.131596,0.124936,1.999474,0.000000,0.000000
migration,63,on,9811907443771798837,40,67,31,893.3257,337.0000,1355,1310,0.966790,1.577465,2.683312,0.331826,1.387670,0.860110,0.276216
migration,64,off,17369466007807344757,20,51,34,595.6070,237.3750,1872,1834,0.979701,1.672727,2.189172,0.174890,1.968637,0.000000,0.000000
migration,64,on,1485292113920961209,9,45,40,475.4960,238.0000,1370,1340,0.978102,1.469388,2.190872,0.119006,1.779785,0.861002,0.092909
migration,65,off,2453054702140475562,40,71,35,914.6061,268.7500,1101,1066,0.968211,1.440000,2.714460,0.697668,1.539528,0.000000,0.000000
migration,65,on,2578473891917499710,40,73,37,782.2790,260.8125,1000,952,0.952000,1.532468,2.922171,0.698791,1.250170,0.810001,0.570759
migration,66,off,3735586698765226735,40,65,29,870.4327,257.5625,1450,1383,0.953793,1.782609,3.290685,0.645501,1.591084,0.000000,0.000000
migration,66,on,16813893757161364414,40,78,42,913.0178,301.4375,1492,1451,0.972520,1.500000,2.669325,0.474298,1.619068,0.842898,0.394266
migration,67,off,10596124868242036114,40,70,34,682.9138,238.0625,985,960,0.974619,1.324324,2.555173,0.235062,1.318225,0.000000,0.000000
migration,67,on,14274257927049563484,0,5,9,68.3120,33.8125,152,150,0.986842,1.222222,2.109394,0.128855,1.569072,0.820973,0.112973
migration,68,off,10943760064913646146,40,75,39,802.0607,253.0625,1733,1673,0.965378,1.481013,2.318296,0.311075,2.147024,0.000000,0.000000
migration,68,on,15420198758483508019,1,41,44,361.1969,171.0625,982,952,0.969450,1.555556,2.223032,0.217701,1.928692,0.790157,0.154604
migration,69,off,6438574732507498918,0,3,7,206.6210,52.8750,530,524,0.988679,1.857143,1.462383,0.408303,2.059020,0.000000,0.000000
migration,69,on,2675310506651737972,40,69,33,1098.2958,432.3750,1418,1393,0.982370,1.328767,2.084415,0.241520,1.195901,0.847101,0.192578
migration,70,off,2467250257143735659,40,63,27,859.6072,338.8750,1181,1140,0.965284,1.567164,2.790261,0.294950,1.392772,0.000000,0.000000
migration,70,on,17039435361244733792,40,74,38,948.3739,404.4375,1479,1436,0.970926,1.435897,2.297295,0.350630,1.405080,0.830569,0.269010
migration,71,off,1167473190174314508,40,76,40,1014.8881,340.4375,1582,1545,0.976612,1.437500,2.459242,0.445433,1.555169,0.000000,0.000000
migration,71,on,16132211690506316641,40,79,43,1077.8156,359.8125,1691,1648,0.974571,1.457831,2.650699,0.379527,1.514228,0.858195,0.323275
