MANIPULATION hashes differed 120/120
MANIPULATION mate-seek decision-ticks off=5520825 on=6223462 delta=12.73%
MANIPULATION flee decision-ticks off=5752666 on=4270468 delta=-25.77%
EXTINCT off=75/120 on=66/120
BIRTHS mean off=279.56 on=292.37 delta=12.808 t=2.04 up=72 down=48 tied=0

# schema=1
# code_revision=ZZZ probe at head 71624ff
# scenario_id=p4-watchable-starter-habitat
# scenario_layout_fingerprint=12748958029872398774
# scenario_resource_count=4
# first_seed=42
# seed_count=120
# ticks=12000
# WorldSeed=42
# InitialPopulation=12
# MaximumPopulation=84
# FounderProfile=PredationVariation
# DecisionPolicyVersion=IntentUtilityV1
# BaseFrequencyHz=20
# CognitionEnabled=true
# PhysiologyEnabled=true
# PlantCohortsEnabled=true
# PredationEconomicsEnabled=false
# ForagingEconomicsEnabled=false
# DecisionStaggerEnabled=false
# MultiThreatPerceptionEnabled=false
# RestBehaviorEnabled=false
# JuvenileCapabilityEnabled=false
# ParentalFollowingEnabled=false
# KinRecognitionEnabled=false
# LearnedResourceQualityEnabled=false
# MateSelectionEnabled=true
# PlantSiteCompetitionEnabled=false
# PlantMortalityEnabled=false
# PlantDefenseDeterrenceEnabled=false
# PlantQualityPreferenceEnabled=false
# PlantTemperatureAdaptationEnabled=false
# PlantFertilityAdaptationEnabled=false
# ProceduralEnvironmentFieldsEnabled=false
# ElevationFieldEnabled=false
# PlantEstablishmentContestEnabled=false
# PlantInvaderEstablishmentContestEnabled=false
# PlantSeedProductionRateEnabled=false
# SafetyGatedMateRendezvousEnabled=false
# HomeRangeAffinityEnabled=false
# PlantSeedProductionRateDispersalCharge=2
# PlantDefenseDeterrenceStrength=0.75
# ThreatFalloffDistance=10
arm,seed,births,deaths,predation_deaths,starvation_deaths,final_population,mate_seek_ticks,flee_ticks,creature_ticks,state_hash
gate-off,135,244,256,10,22,0,36810,63875,477973,13008084619036689445
gate-on,135,277,205,4,0,84,48254,36952,487307,6000278339886499083
gate-off,136,249,261,13,9,0,17450,76575,499838,7563203180758437240
gate-on,136,272,284,4,29,0,27800,37070,540198,6478672967394099131
gate-off,137,275,287,9,23,0,29930,99840,550533,2099603103112539815
gate-on,137,309,237,1,0,84,52530,63373,545412,17723265981517010916
gate-off,138,237,249,11,10,0,19450,58690,478088,14489602999621069654
gate-on,138,288,241,0,1,59,24960,81208,562207,17569713021970182067
gate-off,139,297,309,3,30,0,59950,10470,593113,7555517684423417855
gate-on,139,262,274,15,12,0,33290,36245,518223,873653222868648766
gate-off,140,337,347,10,16,2,81390,44690,670915,1284735912177280789
gate-on,140,329,338,5,38,3,62390,43460,656961,12753412998535657637
gate-off,141,284,213,0,0,83,10650,162589,513111,7099465003047228434
gate-on,141,233,244,6,26,1,17350,83130,487179,5611272072198473904
gate-off,142,326,332,17,16,6,52150,66916,624379,18308834677017689593
gate-on,142,365,293,1,0,84,67054,8280,643072,3890568834461772511
gate-off,143,361,330,0,1,43,94580,17830,721721,10434664976122254674
gate-on,143,374,302,1,0,84,104618,30471,675862,5353591103148354987
gate-off,144,272,284,10,16,0,46100,35910,539078,6298913105418102693
gate-on,144,265,277,5,21,0,34100,51030,519008,7384922113140988128
gate-off,145,269,281,7,19,0,45450,30190,527178,17256972063533359664
gate-on,145,258,270,2,28,0,31890,36375,505998,13038760985604243204
gate-off,146,315,327,7,30,0,55680,59310,637113,13684669266635913159
gate-on,146,313,270,1,0,55,79410,7770,626523,9062871459256822798
gate-off,147,263,253,4,8,22,43240,96287,530075,11067294455492337627
gate-on,147,251,263,7,19,0,23470,53055,497433,6387755963906089074
gate-off,148,253,265,6,18,0,35550,38385,493193,17571820113235618812
