arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
growth-nutrient-off,51,0.312125,0.045936,0.102850,48,16,14782692052276938188
growth-nutrient-off,52,0.301635,0.005956,0.122528,48,17,4852549936223861305
growth-nutrient-off,53,0.402626,-0.002167,0.188779,48,17,17544870467695807917
growth-nutrient-off,54,0.314190,0.019659,0.080701,48,15,4669635598411859492
growth-nutrient-off,55,0.282641,0.043986,0.149568,48,17,8494576012805733741
growth-nutrient-off,56,0.342041,-0.012768,0.104516,48,15,536831685973366898
growth-nutrient-off,57,0.377939,-0.088446,0.182264,48,20,1841498606790802012
growth-nutrient-off,58,0.331410,0.006962,0.073262,48,16,6923477548420815498
growth-nutrient-off,59,0.385029,0.022067,0.170774,48,19,12985633646168316569
growth-nutrient-off,60,0.323119,-0.029908,0.021516,48,16,3527026834579311282
growth-nutrient-off,61,0.316602,0.045424,0.143322,48,17,9153141439807247294
growth-nutrient-off,62,0.295840,0.036153,0.107216,48,15,10569603083164901688
growth-nutrient-off,63,0.322012,-0.008589,0.134923,48,15,4235479509281305995
growth-nutrient-off,64,0.307146,-0.039891,0.108720,48,18,2179250101311621580
growth-nutrient-off,65,0.375121,0.005387,0.089984,48,16,15246336052155052103
growth-nutrient-off,66,0.283108,-0.029482,0.084960,48,17,10217973855176456993
growth-nutrient-off,67,0.346531,-0.010797,0.108162,48,17,10163474002979415722
growth-nutrient-off,68,0.284164,-0.077898,0.085473,48,15,15240288899337362062
growth-nutrient-off,69,0.351707,-0.021579,0.098737,48,18,7822530640845113854
growth-nutrient-off,70,0.352692,0.004695,0.091560,48,15,1724630103950329184
growth-nutrient-off,71,0.340152,0.028052,0.155446,48,15,7310368069251484076
growth-nutrient-off,72,0.375636,-0.021547,0.179346,48,19,8729814391548511292
growth-nutrient-off,73,0.369684,0.032222,0.146038,48,17,17266443789794914189
growth-nutrient-off,74,0.271520,0.003106,0.040758,48,16,11798777191466942070
growth-nutrient-off,75,0.355350,0.026832,0.106216,48,18,5110977465161911933
growth-nutrient-off,76,0.298331,-0.010985,0.054328,48,18,1905999641756947126
growth-nutrient-off,77,0.341261,-0.036080,0.183077,48,18,167392934842833596
growth-nutrient-off,78,0.294131,0.074833,0.085631,48,18,17832560937393321509
