schema=1
code_revision=3ea7884
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=true
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=true
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,neutral_marker
slope-on,148,3064403475081708517,47,0,0.6260,10.9829,0.3383,0.5593,0.5258,0.4489,0.4424,0.5381,0.4514,0.4402,0.5032,0.4380,0.4754,0.5548,0.5001,0.4361
slope-on,150,13496811255914554096,75,0,0.6781,5.7313,0.4499,0.4206,0.4392,0.5666,0.5584,0.4744,0.4252,0.4200,0.5093,0.5156,0.3939,0.5340,0.4914,0.5066
slope-on,152,14418148796676565036,311,0,0.6676,1.0113,0.1578,0.5527,0.4914,0.5016,0.4785,0.4931,0.5076,0.5310,0.5071,0.4945,0.4760,0.4810,0.4910,0.5028
slope-on,153,4420287824330163839,32,0,0.6159,0.4409,0.1624,0.4777,0.6003,0.4561,0.4167,0.4838,0.5558,0.5570,0.4987,0.5196,0.5100,0.4842,0.4116,0.5238
slope-on,167,5277055773097589600,55,0,0.5856,4.9394,0.4605,0.5376,0.4971,0.5361,0.4838,0.4728,0.4647,0.4993,0.5152,0.4997,0.4940,0.5109,0.4913,0.5504
slope-on,176,15006977194957284445,152,0,0.6939,11.4382,0.2446,0.5380,0.5399,0.4862,0.4829,0.4918,0.4308,0.5184,0.5117,0.5307,0.4423,0.5301,0.4702,0.4899
slope-on,187,559322135482481162,50,0,0.7064,2.8440,0.2065,0.5317,0.5145,0.4536,0.4652,0.5420,0.4129,0.5579,0.5574,0.4965,0.4831,0.4944,0.5624,0.4281
slope-on,193,1787063306292814647,106,0,0.6847,9.5563,0.6379,0.5098,0.5745,0.5251,0.4740,0.6099,0.5019,0.5322,0.4512,0.5009,0.4127,0.4943,0.4731,0.5238
slope-on,221,12703207432729053848,178,0,0.0914,6.8007,0.5131,0.5116,0.5155,0.4893,0.4921,0.5152,0.4995,0.5172,0.4894,0.5240,0.5137,0.4824,0.4823,0.4954
slope-on,228,7644632922713165633,203,0,0.6307,21.6529,0.3431,0.5088,0.5022,0.5094,0.5039,0.5076,0.5392,0.4772,0.4987,0.4683,0.4660,0.4915,0.4973,0.5360
slope-on,229,10893618515352333723,8,0,0.7020,16.1187,0.4050,0.5859,0.4612,0.4646,0.4462,0.3673,0.5158,0.4499,0.4608,0.4595,0.5570,0.5618,0.4166,0.5713
slope-on,238,17305396852276878507,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,243,3391121043617437697,34,0,0.5961,18.6852,0.6520,0.4776,0.5172,0.5573,0.4778,0.4809,0.4983,0.5005,0.5476,0.5070,0.4777,0.5106,0.4745,0.5398
