+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-24-on,63,0.892804,-0.084493,-0.010043,48,14,8350127685081019504
invader-24-on,64,0.883028,0.082564,0.032726,48,14,12919899596397283556
invader-24-on,65,0.880260,0.079492,0.209733,48,15,8300321347114460517
invader-24-on,66,0.910533,0.050403,0.169060,48,15,16734194243659374091
invader-24-on,67,0.904100,-0.047661,0.110775,48,15,14252970019252295539
invader-24-on,68,0.910526,-0.014162,0.094972,48,16,3585509995371083442
invader-24-on,69,0.892423,0.002717,-0.017310,48,12,8229190370757236188
invader-24-on,70,0.905746,0.039019,0.063351,48,14,580457498706044236
invader-24-on,71,0.895681,0.039229,0.161288,48,18,5208219482792256739
invader-24-on,72,0.878590,0.175115,0.009057,48,18,10771224103992206526
invader-24-on,73,0.886919,-0.079123,0.096847,48,16,6167556621263326161
invader-24-on,74,0.892401,0.039607,0.078805,48,15,13133057628628704834
invader-24-on,75,0.895207,0.008974,0.060303,48,14,17314720510279505772
invader-24-on,76,0.887148,-0.001301,0.007897,48,13,16710331078579511809
invader-24-on,77,0.891867,-0.030063,0.172687,48,16,13684453074084887686
invader-24-on,78,0.890690,0.070417,0.165851,48,14,11523802070750493882
invader-24-on,79,0.915755,-0.004589,0.096248,48,14,10405208083836226617
invader-24-on,80,0.896734,0.051539,0.090199,48,16,14243981940717241031
invader-24-on,81,0.895377,-0.073887,-0.016770,48,14,10916188416936412600
invader-24-on,82,0.911092,0.042349,0.044227,48,14,2565148438050760630
invader-24-on,83,0.887349,0.035731,0.045048,48,15,3569600108169417017
invader-24-on,84,0.909829,-0.069269,0.053761,48,15,12166910553776654792
invader-24-on,85,0.883264,0.097846,0.013923,48,14,13708566665084152534
invader-24-on,86,0.888462,-0.048583,0.006054,48,17,3709702062438855493
invader-24-on,87,0.899851,0.043340,-0.013002,48,15,5829749874187164253
invader-24-on,88,0.893671,0.044398,0.073670,48,15,1952579089735362627
invader-24-on,89,0.906666,0.146727,0.043548,48,19,16990068066564101470
invader-24-on,90,0.894776,-0.106736,0.068811,48,20,6633548934687917942
invader-24-on,91,0.904560,0.071330,0.088400,48,14,1490107254265928515
