arm,seed,hash,occupancy,realized_grazing_pressure,final_population,extinct,frozen,births,deaths,plant_count,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seed_investment_founder,seed_investment_final,seed_investment_delta,water_efficiency_founder,water_efficiency_final,water_efficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisture_tolerance_founder,moisture_tolerance_final,moisture_tolerance_delta,temperature_tolerance_founder,temperature_tolerance_final,temperature_tolerance_delta,nutrient_uptake_founder,nutrient_uptake_final,nutrient_uptake_delta,seedling_resilience_founder,seedling_resilience_final,seedling_resilience_delta,seed_production_rate_founder,seed_production_rate_final,seed_production_rate_delta
contest-on,44,5418022355926902976,0.34290674,0.0027952124,48,false,false,149,113,104,431,17,0.50000006,0.6028064,0.10280633,0.5,0.5083785,0.008378506,0.5,0.44672096,-0.053279042,0.5,0.37544325,-0.12455675,0.49999997,0.50396293,0.003962964,0.5,0.6780908,0.17809081,0.50000006,0.63988143,0.13988137,0.5,0.5220909,0.022090912,0.5,0.40448284,-0.09551716,0.5,0.4426921,-0.0573079,0.49999997,0.45195055,-0.04804942
mortality-off,44,705573275268195529,0.5499504,0.0015149243,47,false,false,149,114,168,182,16,0.50000006,0.49655843,-0.0034416318,0.5,0.44724828,-0.05275172,0.5,0.50411,0.0041099787,0.5,0.41843423,-0.08156577,0.49999997,0.45680213,-0.04319784,0.5,0.6147655,0.114765525,0.50000006,0.63121504,0.13121498,0.5,0.43345952,-0.06654048,0.5,0.533284,0.03328401,0.5,0.44245514,-0.057544857,0.49999997,0.46254754,-0.03745243
base,45,16419574547595706473,0.3876984,0.0028025208,48,false,false,163,127,113,539,20,0.50000006,0.66980034,0.16980028,0.5,0.4048117,-0.09518829,0.5,0.44557256,-0.054427445,0.5,0.4130556,-0.0869444,0.49999997,0.57717186,0.07717189,0.5,0.7218446,0.22184461,0.50000006,0.765265,0.26526493,0.5,0.3514099,-0.14859009,0.5,0.43706536,-0.06293464,0.5,0.40477738,-0.09522262,0.49999997,0.57123435,0.071234375
seedprod-on,45,5702536082759709116,0.3998512,0.0025022326,48,false,false,155,119,121,520,22,0.50000006,0.59913236,0.0991323,0.5,0.42017803,-0.079821974,0.5,0.47241703,-0.027582973,0.5,0.3863213,-0.113678694,0.49999997,0.48147708,-0.018522888,0.5,0.7043788,0.20437878,0.50000006,0.6753821,0.17538202,0.5,0.33156717,-0.16843283,0.5,0.5044554,0.0044553876,0.5,0.36125234,-0.13874766,0.49999997,0.5463256,0.046325654
contest-on,45,3066971623674779393,0.39707342,0.0021440717,48,false,false,150,114,112,510,18,0.50000006,0.6027757,0.10277563,0.5,0.48422927,-0.015770733,0.5,0.33350548,-0.16649452,0.5,0.43588158,-0.064118415,0.49999997,0.5037002,0.0037002265,0.5,0.71693474,0.21693474,0.50000006,0.59051615,0.09051609,0.5,0.40595827,-0.094041735,0.5,0.3806402,-0.11935979,0.5,0.34392026,-0.15607974,0.49999997,0.5622559,0.06225595
mortality-off,45,10818877671502369343,0.59414685,0.0013277128,48,false,false,145,109,168,191,11,0.50000006,0.599932,0.099931955,0.5,0.46904936,-0.030950636,0.5,0.47706258,-0.022937417,0.5,0.42714942,-0.072850585,0.49999997,0.42886198,-0.071137995,0.5,0.6187421,0.11874211,0.50000006,0.63861847,0.13861841,0.5,0.42678225,-0.07321775,0.5,0.50468636,0.0046863556,0.5,0.31999877,-0.18000123,0.49999997,0.539471,0.039471
base,46,14040643799547122788,0.32584324,0.0027444288,48,false,false,138,102,125,466,17,0.50000006,0.6121238,0.11212373,0.5,0.3746133,-0.12538669,0.5,0.45984012,-0.04015988,0.5,0.38949087,-0.11050913,0.49999997,0.5262145,0.02621451,0.5,0.6714133,0.1714133,0.50000006,0.64327806,0.143278,0.5,0.4236729,-0.076327085,0.5,0.4516563,-0.04834369,0.5,0.39661244,-0.103387564,0.49999997,0.48992047,-0.010079503
seedprod-on,46,13029902749492971482,0.3611111,0.0023889826,48,false,false,140,104,125,485,18,0.50000006,0.6332648,0.13326472,0.5,0.5043765,0.004376471,0.5,0.47679472,-0.02320528,0.5,0.4230544,-0.0769456,0.49999997,0.59326744,0.09326747,0.5,0.70138776,0.20138776,0.50000006,0.60945153,0.10945147,0.5,0.52217335,0.022173345,0.5,0.3625596,-0.13744041,0.5,0.3645512,-0.13544881,0.49999997,0.48146895,-0.018531024
contest-on,46,790264802680261809,0.25441468,0.003786591,48,false,false,137,101,88,343,16,0.50000006,0.6436458,0.14364576,0.5,0.30835655,-0.19164345,0.5,0.5290249,0.029024899,0.5,0.48200235,-0.017997652,0.49999997,0.60102785,0.101027876,0.5,0.6744285,0.17442852,0.50000006,0.5799902,0.07999015,0.5,0.3602822,-0.13971779,0.5,0.47503683,-0.02496317,0.5,0.37747213,-0.12252787,0.49999997,0.4916648,-0.008335173
mortality-off,46,11324140518441445658,0.5408234,0.0015389428,48,false,false,129,93,168,167,12,0.50000006,0.6191508,0.11915076,0.5,0.4988125,-0.0011875033,0.5,0.42260265,-0.07739735,0.5,0.40865046,-0.09134954,0.49999997,0.47352436,-0.026475608,0.5,0.5995797,0.09957969,0.50000006,0.57293093,0.07293087,0.5,0.5067744,0.0067744255,0.5,0.4159277,-0.08407229,0.5,0.40716824,-0.09283176,0.49999997,0.5009915,0.0009915531
