seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,81,12,74,6540,6620,takenOver,80,0,0,0.0904,0.48946,0.42029,0.53298,0.65076,0.32233,0.60806,0.43804,0.49770,0.49736
42,82,7,64,6600,8700,aged,2100,58,2,0.9020,0.44355,0.60830,0.62406,0.61033,0.35408,0.47886,0.58904,0.48426,0.47848
42,81,9,65,6620,8500,aged,1880,56,2,0.9559,0.53405,0.57623,0.47732,0.66269,0.20862,0.65027,0.49023,0.66113,0.46701
42,83,10,80,6640,6680,takenOver,40,0,0,0.0768,0.53689,0.48320,0.53665,0.77153,0.35985,0.57337,0.57850,0.53154,0.55977
42,83,9,70,6680,8760,aged,2080,77,1,0.9507,0.42740,0.55143,0.50728,0.60842,0.26502,0.50789,0.40512,0.66272,0.51566
42,84,8,63,6720,8680,aged,1960,87,0,0.9184,0.53481,0.51054,0.53205,0.70027,0.27032,0.56241,0.60463,0.39806,0.56691
42,85,12,74,6940,7040,takenOver,100,0,0,0.1020,0.53185,0.45154,0.54680,0.66706,0.28686,0.48838,0.42999,0.46118,0.48072
42,86,9,76,6960,8900,aged,1940,66,2,0.8804,0.55701,0.44525,0.52292,0.67198,0.36038,0.50705,0.57484,0.49973,0.55851
42,87,10,66,6960,7000,takenOver,40,0,0,0.0784,0.48530,0.44057,0.53057,0.57100,0.32357,0.52282,0.43183,0.37851,0.53565
42,87,9,78,7000,9120,aged,2120,78,1,0.9406,0.39348,0.59704,0.48412,0.65368,0.39595,0.70463,0.56318,0.31673,0.46404
42,85,8,69,7040,9120,aged,2080,59,2,0.9353,0.37240,0.52274,0.43764,0.62268,0.16644,0.56165,0.46098,0.66282,0.52825
42,88,11,72,7080,9240,aged,2160,78,1,0.9216,0.39577,0.48145,0.58040,0.66499,0.29044,0.49085,0.45442,0.37731,0.51158
42,89,7,67,7100,7120,takenOver,20,0,0,0.0709,0.46370,0.53801,0.47117,0.61076,0.30392,0.58975,0.48541,0.62935,0.59502
42,90,8,82,7120,9200,aged,2080,71,2,0.9159,0.45115,0.62599,0.60594,0.61560,0.44328,0.48259,0.62806,0.46466,0.52388
42,89,11,73,7120,9040,aged,1920,69,1,0.9395,0.55334,0.49635,0.55989,0.65473,0.33760,0.55799,0.45437,0.48232,0.56180
42,91,10,75,7280,9340,aged,2060,55,2,0.9279,0.46069,0.61569,0.44164,0.54277,0.24767,0.52341,0.41454,0.62669,0.46429
42,92,10,81,7360,9380,aged,2020,33,3,0.9108,0.49292,0.56201,0.45507,0.67230,0.26049,0.65520,0.42743,0.60657,0.44044
42,93,10,87,7420,9620,aged,2200,58,2,0.9007,0.36206,0.58699,0.47912,0.60329,0.37412,0.72993,0.59482,0.33797,0.46330
42,94,11,91,7560,9620,aged,2060,75,1,0.9310,0.46141,0.60043,0.43146,0.61510,0.27296,0.55118,0.38997,0.61438,0.46057
42,95,11,92,7700,7780,takenOver,80,0,0,0.1204,0.48946,0.57274,0.43562,0.64248,0.22759,0.68270,0.44852,0.61811,0.42725
42,95,12,74,7780,9740,aged,1960,53,1,0.9525,0.47539,0.41428,0.51116,0.71468,0.31214,0.58283,0.44585,0.49230,0.46427
42,96,11,92,8160,8240,takenOver,80,0,0,0.1109,0.49117,0.57741,0.51345,0.67714,0.23930,0.66893,0.38455,0.58804,0.46153
42,97,13,95,8200,8300,takenOver,100,0,0,0.0164,0.45544,0.32905,0.54370,0.71506,0.27910,0.62062,0.46476,0.48907,0.42919
42,98,12,79,8220,8240,takenOver,20,0,0,0.0517,0.38970,0.48355,0.57896,0.68773,0.27612,0.46406,0.39353,0.42038,0.52448
42,96,9,85,8240,10340,aged,2100,59,2,0.9368,0.38081,0.52363,0.39476,0.62667,0.16749,0.54897,0.44506,0.64878,0.53958
42,98,10,81,8240,10140,aged,1900,50,2,0.9057,0.56354,0.54989,0.47763,0.62067,0.24740,0.60645,0.46559,0.63588,0.41367
42,99,10,80,8260,10180,aged,1920,48,2,0.9154,0.56387,0.45541,0.55730,0.66269,0.43077,0.53956,0.61212,0.52990,0.58835
42,97,10,83,8300,8380,takenOver,80,0,0,0.0325,0.38919,0.60223,0.50505,0.58705,0.26783,0.45961,0.40009,0.68538,0.46553
42,97,12,89,8380,8400,takenOver,20,0,0,0.0612,0.56242,0.52984,0.55013,0.65578,0.43924,0.55988,0.42686,0.49217,0.58438
42,100,8,82,8380,10520,aged,2140,94,0,0.9155,0.40911,0.59417,0.62295,0.63366,0.35640,0.50313,0.60329,0.48658,0.45363
42,97,10,96,8400,8440,takenOver,40,0,0,0.0896,0.40289,0.55866,0.34242,0.62068,0.13695,0.51521,0.39610,0.66813,0.56436
42,97,11,98,8440,10220,aged,1780,20,3,0.8119,0.49797,0.56099,0.46374,0.59373,0.22287,0.60917,0.49896,0.65884,0.40335
42,101,10,86,8460,10440,aged,1980,44,3,0.9127,0.53278,0.38653,0.49822,0.67695,0.37869,0.46862,0.55668,0.48126,0.56407
42,102,11,99,8520,8540,takenOver,20,0,0,0.0624,0.57114,0.40983,0.50135,0.61488,0.44777,0.56735,0.58830,0.50915,0.52668
42,102,12,94,8540,8560,takenOver,20,0,0,0.1714,0.47866,0.60493,0.40605,0.62291,0.29339,0.57509,0.45696,0.61390,0.43389
