terrain,arm,seed,hash,occupancy,population,extinct,no_living_bred_lineage,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-on,56,16422047871740851681,0.95833,0,1,0,454,29,0.4,0.72646,0.32646,0.44,0.57927,0.13927,0.48,0.55119,0.07119,0.52,0.63703,0.11703,0.56,0.5819,0.0219,0.6,0.69353,0.09353,0.56667,0.52591,-0.04075,0.53333,0.32473,-0.20861,0.5,0.33591,-0.16409,0.46667,0.55811,0.09144,0.43333,0.41675,-0.01658
flat,contest-on,57,2431477188029799331,1,0,1,0,425,22,0.4,0.26579,-0.13421,0.44,0.44496,0.00496,0.48,0.45208,-0.02792,0.52,0.39601,-0.12399,0.56,0.45479,-0.10521,0.6,0.84359,0.24359,0.56667,0.76976,0.2031,0.53333,0.75718,0.22385,0.5,0.57377,0.07377,0.46667,0.79831,0.33164,0.43333,0.34034,-0.09299
flat,contest-on,58,10737142883950080436,0,0,1,1,233,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,59,16101466939400982916,0.91667,44,0,0,459,27,0.4,0.5294,0.1294,0.44,0.43693,-0.00307,0.48,0.21456,-0.26544,0.52,0.22625,-0.29375,0.56,0.77634,0.21634,0.6,0.78574,0.18574,0.56667,0.73996,0.17329,0.53333,0.56127,0.02794,0.5,0.69363,0.19363,0.46667,0.74859,0.28193,0.43333,0.2854,-0.14793
flat,contest-on,60,8970913574289163507,1,138,0,0,433,28,0.4,0.61423,0.21423,0.44,0.37552,-0.06448,0.48,0.4889,0.0089,0.52,0.59214,0.07214,0.56,0.72271,0.16271,0.6,0.77027,0.17027,0.56667,0.64118,0.07452,0.53333,0.76628,0.23295,0.5,0.46532,-0.03468,0.46667,0.45425,-0.01241,0.43333,0.37761,-0.05573
flat,contest-on,61,8951790333178233016,0.16667,10,0,0,406,21,0.4,0.44776,0.04776,0.44,0.57443,0.13443,0.48,0.50529,0.02529,0.52,0.5163,-0.0037,0.56,0.6696,0.1096,0.6,0.89632,0.29632,0.56667,0.34084,-0.22583,0.53333,0.24778,-0.28555,0.5,0.50234,0.00234,0.46667,0.44039,-0.02628,0.43333,0.23704,-0.19629
flat,contest-on,62,6357791255085782380,0.25,42,0,0,390,24,0.4,0.37357,-0.02643,0.44,0.47239,0.03239,0.48,0.37621,-0.10379,0.52,0.53624,0.01624,0.56,0.55136,-0.00864,0.6,0.59772,-0.00228,0.56667,0.44401,-0.12265,0.53333,0.81859,0.28526,0.5,0.59584,0.09584,0.46667,0.42977,-0.03689,0.43333,0.28393,-0.1494
flat,contest-on,63,11663450692056930502,0.91667,0,1,0,453,26,0.4,0.5551,0.1551,0.44,0.66318,0.22318,0.48,0.79533,0.31533,0.52,0.53628,0.01628,0.56,0.51507,-0.04493,0.6,0.96051,0.36051,0.56667,0.19757,-0.3691,0.53333,0.51171,-0.02163,0.5,0.50212,0.00212,0.46667,0.39025,-0.07642,0.43333,0.45364,0.02031
flat,contest-on,64,8496932198542087210,0,0,1,1,234,0,0.4,,,0.44,,,0.48,,,0.52,,,0.56,,,0.6,,,0.56667,,,0.53333,,,0.5,,,0.46667,,,0.43333,,
flat,contest-on,65,1010519011232855151,0.66667,167,0,0,466,25,0.4,0.48693,0.08693,0.44,0.52603,0.08603,0.48,0.38985,-0.09015,0.52,0.50732,-0.01268,0.56,0.60574,0.04574,0.6,0.87651,0.27651,0.56667,0.69748,0.13082,0.53333,0.65915,0.12582,0.5,0.45893,-0.04107,0.46667,0.33529,-0.13138,0.43333,0.34256,-0.09077
