arm,seed,population,plantPatches,plantGenerations,plantBirths,founderGrowth,finalGrowth,founderSeedInvestment,finalSeedInvestment,founderWaterEfficiency,finalWaterEfficiency,founderNutrition,finalNutrition,founderDefense,finalDefense,founderDispersal,finalDispersal,founderMoistureTolerance,finalMoistureTolerance,founderTemperatureTolerance,finalTemperatureTolerance,founderNutrientUptake,finalNutrientUptake,founderSeedlingResilience,finalSeedlingResilience
control,134,48,23,14,195,0.58585,0.58902,0.46091,0.43652,0.51796,0.51544,0.72285,0.74958,0.34881,0.31561,0.41955,0.46012,0.43681,0.57994,0.48844,0.50757,0.55580,0.46655,0.50048,0.42868
control,135,48,22,14,211,0.52632,0.45081,0.44494,0.43650,0.46401,0.37968,0.67978,0.82926,0.30056,0.36407,0.52182,0.54839,0.43049,0.40935,0.48827,0.41373,0.57627,0.59877,0.52643,0.44381
control,136,48,24,13,235,0.53376,0.50789,0.42077,0.42000,0.50014,0.47218,0.57865,0.61676,0.27728,0.29946,0.49462,0.72604,0.50803,0.47963,0.52680,0.55280,0.57432,0.55140,0.45646,0.31753
control,137,48,23,16,248,0.54910,0.52470,0.51845,0.48267,0.49579,0.42364,0.59776,0.64629,0.37160,0.39039,0.52496,0.62755,0.51105,0.52215,0.48541,0.40158,0.53016,0.58715,0.51315,0.47462
control,138,48,23,15,210,0.56520,0.50500,0.45257,0.43018,0.54333,0.62190,0.63554,0.58663,0.20019,0.25294,0.46958,0.57750,0.55307,0.56128,0.50661,0.60334,0.46928,0.58863,0.46970,0.41245
control,139,48,24,15,222,0.61487,0.61828,0.48211,0.43915,0.47584,0.49171,0.64216,0.65758,0.27675,0.25620,0.46944,0.62505,0.51477,0.61667,0.50838,0.45825,0.51584,0.45696,0.49339,0.55959
control,140,48,23,15,215,0.53705,0.60422,0.47863,0.64251,0.59502,0.60409,0.71064,0.63896,0.32138,0.28933,0.52762,0.58599,0.51997,0.58811,0.50255,0.67410,0.53701,0.42602,0.48225,0.62316
control,141,48,24,16,219,0.52678,0.55736,0.53599,0.58539,0.54940,0.52809,0.59778,0.60601,0.24596,0.26445,0.54485,0.57302,0.56433,0.49629,0.54665,0.55597,0.42315,0.50811,0.54468,0.52993
control,142,48,22,15,208,0.52559,0.45093,0.54052,0.55085,0.50644,0.59390,0.60446,0.70893,0.30190,0.33466,0.42273,0.47785,0.54426,0.44955,0.48285,0.54711,0.47142,0.52975,0.53317,0.51772
control,143,48,22,15,223,0.50247,0.50607,0.51484,0.60420,0.54286,0.64379,0.68499,0.63908,0.26759,0.25478,0.46401,0.58363,0.55311,0.64134,0.53952,0.46440,0.49173,0.55866,0.43319,0.44584
control,144,48,23,15,220,0.52887,0.50999,0.52234,0.53233,0.52360,0.53594,0.68732,0.73727,0.32149,0.24287,0.48605,0.54339,0.59881,0.65174,0.51726,0.64093,0.56579,0.40700,0.46315,0.60880
control,145,48,20,14,220,0.51956,0.61126,0.57851,0.49732,0.48170,0.44121,0.60704,0.60852,0.29460,0.25090,0.43896,0.57588,0.51200,0.51499,0.58288,0.70246,0.58237,0.46658,0.43958,0.51168
control,146,48,23,14,217,0.50618,0.50563,0.54364,0.51149,0.50142,0.50219,0.58514,0.58801,0.29281,0.21621,0.50256,0.66521,0.55628,0.48499,0.53599,0.53039,0.50479,0.52089,0.47263,0.43184
control,147,48,22,12,235,0.54234,0.46529,0.49525,0.54383,0.41304,0.53500,0.69674,0.53752,0.27672,0.26309,0.54669,0.59160,0.43982,0.39346,0.47929,0.42252,0.55968,0.65654,0.54838,0.52413
control,148,48,20,15,204,0.58405,0.60705,0.53347,0.60543,0.49027,0.45015,0.62322,0.51132,0.25501,0.31780,0.45036,0.45299,0.51297,0.58086,0.52489,0.53979,0.60826,0.74003,0.54850,0.50441
control,149,48,23,14,213,0.50853,0.49696,0.45885,0.57584,0.54248,0.61907,0.71730,0.79450,0.36550,0.39890,0.50434,0.60619,0.48562,0.41282,0.48218,0.55322,0.59011,0.58012,0.54809,0.63825
control,150,48,23,15,225,0.58161,0.47954,0.48844,0.50702,0.46828,0.55458,0.56259,0.51651,0.35221,0.33889,0.47958,0.61894,0.52155,0.59069,0.46766,0.43001,0.49053,0.48701,0.47200,0.56657
