arm,seed,hash,final_population,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations,distinct_sites_ever_active,mean_active_food_sites,first_turnover_tick,site_entries,same_site_fraction,cross_kind_legs,pair_repeat_fraction,mean_distinct_pairs,pair_changed_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_speed
shifting,68,17321121360607333863,0,0,4,85.837540,18.437500,12,36,30,18,12.761000,19,230,0.643478,68,0.779412,3.000000,0.750000,32,36,4.000000,2.382009
shifting-mature,68,15410816763726268951,0,2,6,125.192345,25.750000,12,36,30,18,12.707667,19,378,0.743386,80,0.787500,2.500000,0.500000,38,42,4.000000,2.395213
shifting-8founders,68,17747183673069252540,1,19,26,260.516327,107.562500,7,28,27,18,10.406833,19,764,0.620419,241,0.701245,2.518519,0.814815,125,116,3.666667,1.877934
frozen,69,12716508315860357601,0,1,5,143.753876,33.000000,18,12,0,18,17.312000,19,300,0.633333,102,0.852941,2.000000,0.800000,49,53,3.000000,1.985696
shifting,69,13655251532427989814,0,1,5,159.798553,37.375000,12,36,30,18,12.601000,19,292,0.530822,122,0.795082,3.800000,1.000000,59,63,5.000000,1.908176
shifting-mature,69,8014006559215626691,7,41,38,580.548096,261.687500,10,33,29,18,11.730667,19,1249,0.489191,522,0.639847,3.155556,0.955556,270,252,4.355556,1.505431
shifting-8founders,69,912595995870057212,0,35,43,435.015198,171.312500,5,26,27,18,9.799833,19,1168,0.592466,376,0.662234,2.534884,0.930233,197,179,3.976744,1.740346
frozen,70,3084129966096216183,1,1,4,154.210403,39.812500,18,12,0,18,17.392000,19,298,0.493289,139,0.863309,2.400000,0.600000,67,72,3.400000,2.136321
shifting,70,6989622300348925653,40,40,4,710.284424,191.312500,11,35,30,18,12.397500,19,992,0.405242,477,0.616352,2.659091,0.659091,238,239,4.204545,1.639580
shifting-mature,70,10660113401494631488,21,39,22,736.303528,237.062500,7,31,30,18,11.653500,19,1269,0.468873,561,0.616756,3.395349,0.860465,285,276,4.976744,1.847347
shifting-8founders,70,13082394818321752993,0,56,64,594.581238,295.875000,3,24,27,18,9.592833,19,1795,0.605571,567,0.647266,2.718750,0.812500,298,269,4.093750,1.904818
frozen,71,14680237737458550209,40,72,36,1017.037231,263.375000,18,12,0,18,17.365333,19,1951,0.488980,703,0.577525,2.539474,0.802632,352,351,3.789474,1.746641
shifting,71,10443561425614774318,40,70,34,988.611511,272.062500,8,30,28,18,11.087000,19,1927,0.472237,719,0.546592,3.418919,0.824324,364,355,5.256757,1.807946
shifting-mature,71,4527616200373080744,40,61,25,1090.648193,292.375000,8,31,29,18,11.190333,19,2064,0.476744,788,0.549492,4.138462,0.938462,395,393,6.015385,1.932960
shifting-8founders,71,17831889681098251162,0,37,45,499.031403,208.812500,5,24,25,18,9.303167,19,1313,0.587205,437,0.627002,2.955556,0.955556,233,204,4.311111,1.849171
