terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
terrain,contest-on,152,16367604479132171106,0.83333,46,0,0,180,13,0.4,0.3416,-0.0584,0.44,0.45303,0.01303,0.48,0.40766,-0.07234,0.52,0.42604,-0.09396,0.56,0.5748,0.0148,0.6,0.51942,-0.08058,0.56667,0.58346,0.0168,0.53333,0.68985,0.15652,0.5,0.63176,0.13176,0.46667,0.43591,-0.03075,0.43333,0.49522,0.06189
terrain,contest-on,153,10272131866388141007,1,48,0,0,220,14,0.4,0.5387,0.1387,0.44,0.47304,0.03304,0.48,0.58895,0.10895,0.52,0.60379,0.08379,0.56,0.60678,0.04678,0.6,0.77238,0.17238,0.56667,0.36665,-0.20001,0.53333,0.3103,-0.22304,0.5,0.49575,-0.00425,0.46667,0.51318,0.04651,0.43333,0.4874,0.05407
terrain,contest-on,154,14566047677189880,0.95833,48,0,0,206,13,0.4,0.49179,0.09179,0.44,0.58286,0.14286,0.48,0.39651,-0.08349,0.52,0.61215,0.09215,0.56,0.59169,0.03169,0.6,0.68015,0.08015,0.56667,0.70574,0.13907,0.53333,0.34861,-0.18472,0.5,0.34387,-0.15613,0.46667,0.34457,-0.12209,0.43333,0.34655,-0.08679
terrain,contest-on,155,1640808968332711349,1,48,0,0,208,13,0.4,0.42486,0.02486,0.44,0.49102,0.05102,0.48,0.51558,0.03558,0.52,0.57525,0.05525,0.56,0.63038,0.07038,0.6,0.64275,0.04275,0.56667,0.58581,0.01914,0.53333,0.49223,-0.0411,0.5,0.59345,0.09345,0.46667,0.37677,-0.0899,0.43333,0.34475,-0.08859
terrain,contest-on,156,8385653008847320212,0.95833,48,0,0,194,13,0.4,0.40207,0.00207,0.44,0.5668,0.1268,0.48,0.49832,0.01832,0.52,0.66533,0.14533,0.56,0.56694,0.00694,0.6,0.6637,0.0637,0.56667,0.65333,0.08666,0.53333,0.34494,-0.1884,0.5,0.2884,-0.2116,0.46667,0.41423,-0.05243,0.43333,0.46718,0.03385
terrain,contest-on,157,2788657355895117753,0.91667,47,0,0,219,14,0.4,0.499,0.099,0.44,0.6529,0.2129,0.48,0.51263,0.03263,0.52,0.62736,0.10736,0.56,0.54865,-0.01135,0.6,0.67325,0.07325,0.56667,0.332,-0.23467,0.53333,0.38059,-0.15274,0.5,0.30631,-0.19369,0.46667,0.45697,-0.00969,0.43333,0.48032,0.04699
terrain,contest-on,158,10513166833113102154,0.95833,48,0,0,216,16,0.4,0.5174,0.1174,0.44,0.59056,0.15056,0.48,0.4886,0.0086,0.52,0.60285,0.08285,0.56,0.46422,-0.09578,0.6,0.73991,0.13991,0.56667,0.44335,-0.12332,0.53333,0.46988,-0.06346,0.5,0.35854,-0.14146,0.46667,0.33678,-0.12988,0.43333,0.42894,-0.00439
terrain,contest-on,159,587555327453497428,0.83333,48,0,0,214,13,0.4,0.51833,0.11833,0.44,0.49703,0.05703,0.48,0.52098,0.04098,0.52,0.66513,0.14513,0.56,0.67126,0.11126,0.6,0.68917,0.08917,0.56667,0.51186,-0.0548,0.53333,0.41796,-0.11537,0.5,0.26888,-0.23112,0.46667,0.32633,-0.14034,0.43333,0.40886,-0.02447
terrain,contest-on,160,8875281670615500237,1,48,0,0,221,14,0.4,0.53351,0.13351,0.44,0.63564,0.19564,0.48,0.64137,0.16137,0.52,0.50356,-0.01644,0.56,0.61468,0.05468,0.6,0.76301,0.16301,0.56667,0.35234,-0.21433,0.53333,0.2589,-0.27443,0.5,0.52532,0.02532,0.46667,0.35488,-0.11178,0.43333,0.46482,0.03149
terrain,contest-on,161,12620504348824367076,0.95833,48,0,0,218,15,0.4,0.40311,0.00311,0.44,0.43056,-0.00944,0.48,0.52095,0.04095,0.52,0.55413,0.03413,0.56,0.5092,-0.0508,0.6,0.67759,0.07759,0.56667,0.50951,-0.05716,0.53333,0.54216,0.00883,0.5,0.55886,0.05886,0.46667,0.36833,-0.09833,0.43333,0.45021,0.01687
