build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
fixed-9763374,stable-homerange,44,11376112000286741228,40,70,34,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring,44,9346353588288477685,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring-homerange,44,3319376875424846933,40,43,7,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,shifting,44,1685393095965221029,40,66,30,8,31,6,0.447273,0.514135,0.514504,0.525318,0.430888,0.550640,0.475641
fixed-9763374,stable,45,16183664376660414600,40,78,42,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,stable-homerange,45,10559979368192922410,40,78,42,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring,45,13096516267311938424,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring-homerange,45,13096516267311938424,0,0,4,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,shifting,45,4963484941996006476,40,57,21,12,36,5,0.522314,0.491241,0.513592,0.450667,0.537269,0.477551,0.500338
fixed-9763374,stable,46,9730124049806361150,40,69,33,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,stable-homerange,46,16112329738751842515,40,68,32,2,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring,46,16816142172801536496,40,53,17,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,ring-homerange,46,17431876370420217200,40,56,20,4,0,0,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
fixed-9763374,shifting,46,9069145082139090238,0,0,4,12,37,6,0.566047,0.465130,0.522461,0.475493,0.546903,0.542467,0.528157
fixed-9763374,calibration-competition,42,11224016175243550326,48,164,128,24,209,17,0.461548,0.567208,0.590772,0.520924,0.593383,0.645440,0.415207
fixed-9763374,calibration-contest,42,4189539786953478805,48,150,114,24,169,14,0.570550,0.504483,0.588833,0.517084,0.572998,0.613327,0.390373
fixed-9763374,calibration-competition,43,16658121305925893933,48,147,111,21,209,15,0.510854,0.720364,0.591572,0.529974,0.402802,0.609967,0.291677
fixed-9763374,calibration-contest,43,8055864833612423619,48,145,109,23,175,15,0.626100,0.543316,0.523587,0.525228,0.598316,0.603833,0.248835
fixed-9763374,calibration-competition,44,12711841872271089870,48,151,115,22,217,15,0.557637,0.555542,0.542023,0.359478,0.405709,0.734862,0.403353
fixed-9763374,calibration-contest,44,2310099746741470978,47,150,115,23,174,16,0.526059,0.492062,0.565402,0.571630,0.502239,0.662542,0.337490
fixed-9763374,calibration-competition,45,4159269420374237997,48,139,103,20,231,16,0.648249,0.416454,0.734140,0.495222,0.501288,0.686005,0.170860
