cap,seed,startDefense,endDefense,delta,grazingPressure,finalPop,plantGen,biomassDispersion
36,48,0.29538,0.02357,-0.27181,0.002927,36,14,0.2159
36,49,0.28272,0.12117,-0.16154,0.003091,36,18,0.1968
36,50,0.33003,0.33349,0.00347,0.004015,36,16,0.2214
36,51,0.30208,0.34481,0.04272,0.003468,36,13,0.2148
36,52,0.32676,0.64933,0.32257,0.003739,36,16,0.2438
36,53,0.33023,0.13303,-0.19720,0.002992,36,13,0.2239
36,54,0.25910,0.12929,-0.12980,0.002797,36,17,0.1884
36,55,0.30582,0.61209,0.30627,0.003345,36,15,0.2281
36,56,0.30997,0.07631,-0.23366,0.002981,36,16,0.1964
36,57,0.32134,0.02702,-0.29432,0.003051,36,17,0.2310
36,58,0.23904,0.16254,-0.07650,0.002705,36,17,0.2409
36,59,0.30402,0.21015,-0.09387,0.002595,36,17,0.2032
36,60,0.31075,0.26930,-0.04145,0.003623,36,17,0.2257
36,61,0.32647,0.09634,-0.23012,0.002774,36,14,0.2139
36,62,0.30712,0.05327,-0.25385,0.002995,36,17,0.2161
36,63,0.30716,0.62069,0.31353,0.004332,36,16,0.2264
36,64,0.27809,0.05168,-0.22642,0.002959,36,17,0.2095
36,65,0.30719,0.05008,-0.25711,0.003580,36,16,0.2124
36,66,0.31583,0.04919,-0.26664,0.003127,36,14,0.2029
36,67,0.29965,0.26488,-0.03478,0.002917,36,15,0.2208
36,68,0.30951,0.43645,0.12694,0.003913,36,15,0.2590
36,69,0.30286,0.09997,-0.20289,0.003393,36,15,0.2047
36,70,0.30207,0.26931,-0.03277,0.003654,36,14,0.2131
36,71,0.28742,0.32847,0.04105,0.002614,36,13,0.2080
48,42,0.27620,0.59683,0.32063,0.005950,48,15,0.2440
48,43,0.29630,0.06064,-0.23567,0.003902,48,15,0.2639
48,44,0.32854,0.33910,0.01056,0.004858,48,15,0.2477
48,45,0.29815,0.09605,-0.20210,0.003593,48,17,0.2264
48,46,0.29681,0.13547,-0.16135,0.003958,48,15,0.2395
48,47,0.27481,0.54074,0.26593,0.005173,48,15,0.2472
48,48,0.29538,0.18932,-0.10606,0.004622,48,14,0.2350
48,49,0.28272,0.13910,-0.14362,0.003932,48,15,0.2347
48,50,0.33003,0.26019,-0.06984,0.004440,48,15,0.2164
48,51,0.30208,0.09501,-0.20707,0.004282,48,15,0.2251
48,52,0.32676,0.54909,0.22233,0.005154,48,14,0.2295
48,53,0.33023,0.11969,-0.21054,0.003361,48,14,0.2347
48,54,0.25910,0.12079,-0.13830,0.004055,48,18,0.2015
48,55,0.30582,0.65302,0.34720,0.005733,48,15,0.2309
48,56,0.30997,0.10713,-0.20284,0.004775,48,17,0.2291
48,57,0.32134,0.22133,-0.10000,0.004376,48,15,0.2264
48,58,0.23904,0.19845,-0.04058,0.003899,48,14,0.2494
48,59,0.30402,0.46205,0.15803,0.004962,48,15,0.2163
48,60,0.31075,0.05464,-0.25611,0.004658,48,19,0.2132
48,61,0.32647,0.08993,-0.23654,0.003530,48,15,0.2226
48,62,0.30712,0.04749,-0.25963,0.003985,48,15,0.2253
48,63,0.30716,0.38236,0.07520,0.005466,48,15,0.2689
48,64,0.27809,0.06663,-0.21147,0.004496,48,17,0.2155
48,65,0.30719,0.37847,0.07129,0.005345,48,19,0.2600
48,66,0.31583,0.09997,-0.21586,0.004388,48,19,0.2443
48,67,0.29965,0.07503,-0.22463,0.003582,48,14,0.2456
48,68,0.30951,0.04970,-0.25981,0.004776,48,16,0.2465
48,69,0.30286,0.52367,0.22081,0.005440,48,15,0.2696
48,70,0.30207,0.68594,0.38387,0.005682,48,15,0.2509
48,71,0.28742,0.04991,-0.23751,0.003701,48,15,0.2234
