arm,seed,sample,sample_count,tick,population,extinct_at_end,at_cap,peak_population,starvation_deaths,dehydration_deaths,age_deaths,health_deaths,predation_deaths,starvation_deaths_interval,total_deaths_interval,plant_patches,seed_eligible_patches,plant_biomass,plant_growth_cumulative,plant_offtake_cumulative,plant_mortality_cumulative,mean_energy_fraction,behavior_hash
control,48,2,27,5333,90,1,0,370,0,0,23,0,0,0,21,21,20,1402.1676,6201.8506,1873.8837,3357.8091,0.7818,13821519949924346671
control,48,3,27,8000,250,1,0,370,0,0,70,0,0,0,47,22,20,1445.731,11471.9717,5282.5127,5176.0825,0.7956,6251029351096048937
control,48,4,27,10666,370,1,0,370,1,0,184,0,0,1,115,13,0,3.6437,17308.1973,11390.3438,6346.1582,0.2557,17401552643300047826
control,48,5,27,13333,0,1,0,370,308,0,247,0,0,307,370,0,0,0,17589.1504,11665.4844,6355.5264,,18273226729764498413
control,48,6,27,16000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,7101071733951262166
control,48,7,27,18666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,13968104457810534552
control,48,8,27,21333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,14515152890418736173
control,48,9,27,24000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,14891761687537099286
control,48,10,27,26666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,4596311746126633176
control,48,11,27,29333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,16069364797737099885
control,48,12,27,32000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,5088119657150176854
control,48,13,27,34666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,5786467125535726360
control,48,14,27,37333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,2790577438779270317
control,48,15,27,40000,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,4591045149584963734
control,48,16,27,42666,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,15611809499961133400
control,48,17,27,45333,0,1,0,370,308,0,247,0,0,0,0,0,0,0,17589.1504,11665.4844,6355.5264,,8965461161041033965
