schema=1
code_revision=d99b854
scenario_id=p6-defense-calibration-regen2.00
scenario_layout_fingerprint=13576515063262381010
scenario_resource_count=30
first_seed=42
seed_count=30
ticks=12000
WorldSeed=42
InitialPopulation=12
MaximumPopulation=500
FounderProfile=PredationVariation
DecisionPolicyVersion=IntentUtilityV1
BaseFrequencyHz=20
CognitionEnabled=true
PhysiologyEnabled=true
PlantCohortsEnabled=true
PredationEconomicsEnabled=true
ForagingEconomicsEnabled=true
DecisionStaggerEnabled=true
MultiThreatPerceptionEnabled=true
RestBehaviorEnabled=true
JuvenileCapabilityEnabled=true
ParentalFollowingEnabled=true
KinRecognitionEnabled=false
LearnedResourceQualityEnabled=true
MateSelectionEnabled=true
PlantSiteCompetitionEnabled=true
PlantMortalityEnabled=true
PlantDefenseDeterrenceEnabled=true
PlantQualityPreferenceEnabled=true
PlantTemperatureAdaptationEnabled=true
PlantFertilityAdaptationEnabled=true
ProceduralEnvironmentFieldsEnabled=true
ElevationFieldEnabled=true
TerrainDrivenEnvironmentEnabled=true
TerrainDrivenTemperatureEnabled=false
MetabolicIngestionEnabled=false
HealthRecoveryEnabled=false
MetabolicHealingEnabled=false
GradedFertilityEnabled=true
GradedFertilityStrength=1.5
ReproductionNeedFraction=0.45
SlopeMovementCostEnabled=true
PlantEstablishmentContestEnabled=true
PlantInvaderEstablishmentContestEnabled=true
PlantSeedProductionRateEnabled=true
SafetyGatedMateRendezvousEnabled=false
HomeRangeAffinityEnabled=false
PlantSeedProductionRateDispersalCharge=2
PlantDefenseDeterrenceStrength=0.75
ThreatFalloffDistance=10

arm,seed,hash,population,extinct,energy,occupied_elevation,occupied_slope,body_size,movement_speed,metabolic_pace,vision_range,water_efficiency,food_efficiency,temperature_tolerance,fertility_investment,lifespan_tendency,urgency_exponent,travel_sensitivity,risk_aversion,attack,defense,aggression,diet_specialization,neutral_marker
slope-on,118,1137712369393123790,58,0,0.0370,9.1748,0.2520,0.4931,0.5077,0.5179,0.4858,0.4463,0.5141,0.5203,0.5578,0.5002,0.4772,0.4090,0.4737,0.1448,0.7122,0.5497,0.3827,0.5031
slope-on,120,11123664008030772407,104,0,0.7160,4.6281,0.7271,0.5042,0.5430,0.5106,0.5996,0.5072,0.5450,0.5471,0.5106,0.5707,0.4790,0.4540,0.5095,0.2547,0.9503,0.2887,0.4393,0.5317
slope-on,128,10597006270162118574,229,0,0.6423,13.2839,0.7760,0.4590,0.4923,0.5387,0.4553,0.4780,0.4977,0.5183,0.5179,0.5457,0.5007,0.5202,0.5193,0.2571,0.8918,0.2152,0.5350,0.4873
slope-on,135,17091760742415199078,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,147,16283949100824432324,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,148,12929579874440349310,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,150,10727152462329152214,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,152,3967716661777096550,360,0,0.3526,1.4697,0.2584,0.5172,0.4681,0.4916,0.4525,0.4834,0.5418,0.5198,0.5137,0.5186,0.5128,0.5486,0.4961,0.1771,0.7219,0.3456,0.5570,0.5212
slope-on,153,11778036894309441612,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,167,3646980677918538651,74,0,0.7123,6.1022,0.5099,0.5467,0.5126,0.5229,0.4417,0.4762,0.4745,0.5146,0.4984,0.4877,0.5538,0.5379,0.4322,0.3538,0.6007,0.0773,0.2070,0.5673
slope-on,176,17487348935575520861,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,187,3694563236114373368,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,193,18362284153288376532,50,0,0.7539,4.6553,0.6389,0.5492,0.5250,0.4764,0.4768,0.6116,0.5657,0.5339,0.4141,0.5316,0.4922,0.5060,0.5247,0.0751,0.5969,0.4610,0.4285,0.5613
slope-on,221,5585897784442707770,90,0,0.5723,3.7413,0.4218,0.5312,0.4956,0.4530,0.4812,0.4857,0.4979,0.5311,0.5177,0.5081,0.5746,0.5227,0.4576,0.1443,0.5966,0.6051,0.7519,0.4962
slope-on,228,1047571225033046228,253,0,0.2903,20.2161,0.4294,0.5006,0.4810,0.4777,0.5360,0.4850,0.5402,0.4627,0.4605,0.5011,0.4759,0.4624,0.5071,0.1738,0.9353,0.2294,0.6040,0.5049
slope-on,229,48429560900374639,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,238,10465666959402482566,0,1,0.0000,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
slope-on,243,12058514705867109511,212,0,0.7106,19.1591,0.5951,0.4480,0.5083,0.5809,0.5537,0.5263,0.4686,0.5440,0.5301,0.5254,0.5194,0.4606,0.4930,0.3060,0.8075,0.1033,0.3461,0.5101
