arm,seed,founderMean,finalMean,delta,finalPatches,finalPopulation,plantGenerations
fertilityAdaptation,109,0.534514973560969,0.41292937294296594,-0.12158560061800305,23,48,13
fertilityAdaptation,110,0.8194241325060526,0.7895998306896376,-0.029824301816415044,23,48,15
fertilityAdaptation,111,0.19677825520435968,0.19415564219588818,-0.002622613008471497,23,48,14
fertilityAdaptation,112,0.5918185909589132,0.6969431768292966,0.10512458587038342,23,48,15
fertilityAdaptation,113,0.3282848546902339,0.538104565895122,0.20981971120488813,23,48,16
fertilityAdaptation,114,0.7134332557519277,0.864082421945489,0.15064916619356128,23,48,13
fertilityAdaptation,115,0.5910397271315256,0.5346553840420463,-0.05638434308947937,22,48,16
fertilityAdaptation,116,0.3738889843225479,0.3345781182465346,-0.03931086607601331,23,48,15
fertilityAdaptation,117,0.6401996910572052,0.6459763723870983,0.005776681329893063,23,48,17
fertilityAdaptation,118,0.6113607982794443,0.5515218908372133,-0.05983890744223108,23,48,14
fertilityAdaptation,119,0.24480834851662317,0.1753283002498475,-0.06948004826677567,22,48,14
fertilityAdaptation,120,0.6397750377655029,0.6874913828713554,0.04771634510585243,21,48,20
fertilityAdaptation,121,0.27476707597573596,0.1707200362191846,-0.10404703975655136,24,47,16
fertilityAdaptation,122,0.7478856444358826,0.8182742984398551,0.07038865400397254,23,47,18
fertilityAdaptation,123,0.2537909497817357,0.17937974123792214,-0.07441120854381358,22,48,13
fertilityAdaptation,124,0.361975759267807,0.5182029632004824,0.15622720393267542,22,48,13
fertilityAdaptation,125,0.25738314787546795,0.2317690758601479,-0.025614072015320066,23,48,13
fertilityAdaptation,126,0.4980337818463643,0.49083472788333893,-0.0071990539630253925,23,48,17
fertilityAdaptation,127,0.5121792803208033,0.47979703286419745,-0.03238224745660584,23,48,19
fertilityAdaptation,128,0.6791263620058695,0.733536734467461,0.05441037246159153,21,48,14
fertilityAdaptation,129,0.24028931061426798,0.2107800179245797,-0.02950929268968827,22,48,14
fertilityAdaptation,130,0.21881666655341783,0.226705951243639,0.007889284690221154,20,47,13
fertilityAdaptation,131,0.6474216878414154,0.6955072867373625,0.0480855988959471,24,48,16
fertilityAdaptation,132,0.5756576855977377,0.6127770773389123,0.03711939174117462,22,48,17
fertilityAdaptation,133,0.237209290266037,0.24007020484317432,0.00286091457713733,22,48,15
fertilityAdaptation,134,0.2950388888518016,0.2941605614667589,-0.0008783273850426765,22,48,17
fertilityAdaptation,135,0.4198612372080485,0.4206444417888468,0.0007832045807982801,22,48,12
fertilityAdaptation,136,0.520622730255127,0.5404291356151755,0.019806405360048518,22,48,14
fertilityAdaptation,137,0.689346065123876,0.6242583567897478,-0.06508770833412814,24,48,16
fertilityAdaptation,138,0.7693631052970886,0.905787448088328,0.13642434279123938,24,48,15
fertilityAdaptation,139,0.7506270607312521,0.7936662979747938,0.04303923724354175,23,48,18
fertilityAdaptation,140,0.38143907487392426,0.41604098429282504,0.03460190941890079,24,46,17
fertilityAdaptation,141,0.40423304339249927,0.46126674115657806,0.057033697764078795,24,48,17
fertilityAdaptation,142,0.31153549750645954,0.3294203572947046,0.017884859788245056,23,48,17
fertilityAdaptation,143,0.7909464140733083,0.7673553253213564,-0.023591088751951927,24,48,16
fertilityAdaptation,144,0.7042262752850851,0.6182719035582109,-0.08595437172687415,22,48,13
fertilityAdaptation,145,0.4846937010685603,0.38140499727292493,-0.10328870379563537,22,48,15
fertilityAdaptation,146,0.6326373318831126,0.5749625667281772,-0.057674765154935304,23,48,12
fertilityAdaptation,147,0.5169225285450617,0.6154757440090179,0.09855321546395623,24,48,16
fertilityAdaptation,148,0.645003467798233,0.6418895920117696,-0.0031138757864633826,21,48,17
fertilityAdaptation,149,0.3489133616288503,0.3423772259898808,-0.006536135638969487,23,48,15
fertilityAdaptation,150,0.26547595858573914,0.38668244636871596,0.12120648778297682,22,48,15
fertilityAdaptation,151,0.418815220395724,0.4236561759658482,0.004840955570124206,23,48,14
fertilityAdaptation,152,0.21007680147886276,0.30225291374054825,0.09217611226168548,22,48,18
fertilityAdaptation,153,0.6034629891316096,0.5773624703288078,-0.02610051880280173,24,48,16
fertilityAdaptation,154,0.6308502554893494,0.5963758256124414,-0.034474429876907964,23,48,13
fertilityAdaptation,155,0.5342766394217809,0.4828682075376096,-0.051408431884171324,23,48,12
fertilityAdaptation,156,0.2054109126329422,0.3333230720212062,0.127912159388264,24,48,18
fertilityAdaptation,157,0.4312279522418976,0.45077360712963604,0.01954565488773846,23,48,14
fertilityAdaptation,158,0.7134127219518026,0.7460147738456726,0.03260205189387,24,48,13
fertilityAdaptation,159,0.2925204858183861,0.22921787785447162,-0.06330260796391446,23,48,16
fertilityAdaptation,160,0.5452970465024313,0.45391724461858923,-0.09137980188384204,22,48,16
fertilityAdaptation,161,0.7193749149640402,0.6035706536336378,-0.11580426133040234,22,48,14
